#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
makeLocusGraph_chromId_003_4_0005		complete	0	2016-09-30T17:37:37.486369
makeLocusGraph_chromId_003_4_0006		complete	0	2016-09-30T17:37:28.292842
makeLocusGraph_chromId_003_4_0007		complete	0	2016-09-30T17:37:43.182734
makeLocusGraph_chromId_003_4_0008		complete	0	2016-09-30T17:37:27.785084
makeLocusGraph_chromId_003_4_0009		complete	0	2016-09-30T17:37:44.044794
makeLocusGraph_chromId_003_4_0010		complete	0	2016-09-30T17:37:41.111745
makeLocusGraph_chromId_003_4_0011		complete	0	2016-09-30T17:37:42.812308
makeLocusGraph_chromId_003_4_0012		complete	0	2016-09-30T17:37:33.371351
makeLocusGraph_chromId_003_4_0013		complete	0	2016-09-30T17:37:37.649053
makeLocusGraph_chromId_003_4_0014		complete	0	2016-09-30T17:37:30.817724
makeLocusGraph_chromId_003_4_0015		complete	0	2016-09-30T17:37:34.698619
makeLocusGraph_chromId_004_5_0000		complete	0	2016-09-30T17:37:29.911243
makeLocusGraph_chromId_004_5_0001		complete	0	2016-09-30T17:37:45.334442
makeLocusGraph_chromId_004_5_0002		complete	0	2016-09-30T17:37:40.176977
makeLocusGraph_chromId_004_5_0003		complete	0	2016-09-30T17:37:29.033310
makeLocusGraph_chromId_004_5_0004		complete	0	2016-09-30T17:37:34.334674
makeLocusGraph_chromId_004_5_0005		complete	0	2016-09-30T17:37:29.655454
makeLocusGraph_chromId_004_5_0006		complete	0	2016-09-30T17:37:31.101821
makeLocusGraph_chromId_004_5_0007		complete	0	2016-09-30T17:37:39.301868
makeLocusGraph_chromId_004_5_0008		complete	0	2016-09-30T17:37:36.813054
makeLocusGraph_chromId_004_5_0009		complete	0	2016-09-30T17:37:41.709946
makeLocusGraph_chromId_004_5_0010		complete	0	2016-09-30T17:37:29.593565
makeLocusGraph_chromId_004_5_0011		complete	0	2016-09-30T17:37:38.995016
makeLocusGraph_chromId_004_5_0012		complete	0	2016-09-30T17:37:39.613455
makeLocusGraph_chromId_004_5_0013		complete	0	2016-09-30T17:37:38.622436
makeLocusGraph_chromId_004_5_0014		complete	0	2016-09-30T17:37:43.152205
makeLocusGraph_chromId_004_5_0015		complete	0	2016-09-30T17:37:33.418097
makeLocusGraph_chromId_005_6_0000		complete	0	2016-09-30T17:37:26.508608
makeLocusGraph_chromId_005_6_0001		complete	0	2016-09-30T17:37:43.647042
makeLocusGraph_chromId_005_6_0002		complete	0	2016-09-30T17:37:27.859013
makeLocusGraph_chromId_005_6_0003		complete	0	2016-09-30T17:37:43.791713
makeLocusGraph_chromId_005_6_0004		complete	0	2016-09-30T17:37:47.604689
makeLocusGraph_chromId_005_6_0005		complete	0	2016-09-30T17:37:38.745074
makeLocusGraph_chromId_005_6_0006		complete	0	2016-09-30T17:37:46.266800
makeLocusGraph_chromId_005_6_0007		complete	0	2016-09-30T17:37:45.949694
makeLocusGraph_chromId_005_6_0008		complete	0	2016-09-30T17:37:39.808003
makeLocusGraph_chromId_005_6_0009		complete	0	2016-09-30T17:37:37.097250
makeLocusGraph_chromId_005_6_0010		complete	0	2016-09-30T17:37:46.962076
makeLocusGraph_chromId_005_6_0011		complete	0	2016-09-30T17:37:35.007114
makeLocusGraph_chromId_005_6_0012		complete	0	2016-09-30T17:37:40.588081
makeLocusGraph_chromId_005_6_0013		complete	0	2016-09-30T17:37:38.713267
makeLocusGraph_chromId_005_6_0014		complete	0	2016-09-30T17:37:26.972673
makeLocusGraph_chromId_006_7_0000		complete	0	2016-09-30T17:37:33.960852
makeLocusGraph_chromId_006_7_0001		complete	0	2016-09-30T17:37:38.697980
makeLocusGraph_chromId_006_7_0002		complete	0	2016-09-30T17:37:40.806376
makeLocusGraph_chromId_006_7_0003		complete	0	2016-09-30T17:37:28.799532
makeLocusGraph_chromId_006_7_0004		complete	0	2016-09-30T17:37:33.433665
makeLocusGraph_chromId_006_7_0005		complete	0	2016-09-30T17:37:29.794839
makeLocusGraph_chromId_006_7_0006		complete	0	2016-09-30T17:37:39.478565
makeLocusGraph_chromId_006_7_0007		complete	0	2016-09-30T17:37:35.331459
makeLocusGraph_chromId_006_7_0008		complete	0	2016-09-30T17:37:38.906354
makeLocusGraph_chromId_006_7_0009		complete	0	2016-09-30T17:37:38.728681
makeLocusGraph_chromId_006_7_0010		complete	0	2016-09-30T17:37:28.038509
makeLocusGraph_chromId_006_7_0011		complete	0	2016-09-30T17:37:45.470685
makeLocusGraph_chromId_006_7_0012		complete	0	2016-09-30T17:37:38.191850
makeLocusGraph_chromId_006_7_0013		complete	0	2016-09-30T17:37:42.766904
makeLocusGraph_chromId_007_8_0000		complete	0	2016-09-30T17:37:26.537421
makeLocusGraph_chromId_007_8_0001		complete	0	2016-09-30T17:37:44.809594
makeLocusGraph_chromId_007_8_0002		complete	0	2016-09-30T17:37:37.274050
makeLocusGraph_chromId_007_8_0003		complete	0	2016-09-30T17:37:28.415910
makeLocusGraph_chromId_007_8_0004		complete	0	2016-09-30T17:37:39.317596
makeLocusGraph_chromId_007_8_0005		complete	0	2016-09-30T17:37:35.060844
makeLocusGraph_chromId_007_8_0006		complete	0	2016-09-30T17:37:35.245567
makeLocusGraph_chromId_007_8_0007		complete	0	2016-09-30T17:37:40.046010
makeLocusGraph_chromId_007_8_0008		complete	0	2016-09-30T17:37:41.301576
makeLocusGraph_chromId_007_8_0009		complete	0	2016-09-30T17:37:33.562108
makeLocusGraph_chromId_007_8_0010		complete	0	2016-09-30T17:37:33.515523
makeLocusGraph_chromId_007_8_0011		complete	0	2016-09-30T17:37:41.008950
makeLocusGraph_chromId_007_8_0012		complete	0	2016-09-30T17:37:37.754119
makeLocusGraph_chromId_008_9_0000		complete	0	2016-09-30T17:37:36.856872
makeLocusGraph_chromId_008_9_0001		complete	0	2016-09-30T17:37:45.704225
makeLocusGraph_chromId_008_9_0002		complete	0	2016-09-30T17:37:40.618564
makeLocusGraph_chromId_008_9_0003		complete	0	2016-09-30T17:37:41.026020
makeLocusGraph_chromId_008_9_0004		complete	0	2016-09-30T17:37:29.723431
makeLocusGraph_chromId_008_9_0005		complete	0	2016-09-30T17:37:41.540771
makeLocusGraph_chromId_008_9_0006		complete	0	2016-09-30T17:37:40.237139
makeLocusGraph_chromId_008_9_0007		complete	0	2016-09-30T17:37:47.951012
makeLocusGraph_chromId_008_9_0008		complete	0	2016-09-30T17:37:40.347978
makeLocusGraph_chromId_008_9_0009		complete	0	2016-09-30T17:37:44.429938
makeLocusGraph_chromId_008_9_0010		complete	0	2016-09-30T17:37:26.607390
makeLocusGraph_chromId_008_9_0011		complete	0	2016-09-30T17:37:33.340574
makeLocusGraph_chromId_009_10_0000		complete	0	2016-09-30T17:37:34.682571
makeLocusGraph_chromId_009_10_0001		complete	0	2016-09-30T17:37:47.620270
makeLocusGraph_chromId_009_10_0002		complete	0	2016-09-30T17:37:27.031586
makeLocusGraph_chromId_009_10_0003		complete	0	2016-09-30T17:37:38.890063
makeLocusGraph_chromId_009_10_0004		complete	0	2016-09-30T17:37:29.841088
makeLocusGraph_chromId_009_10_0005		complete	0	2016-09-30T17:37:47.241659
makeLocusGraph_chromId_009_10_0006		complete	0	2016-09-30T17:37:27.528978
makeLocusGraph_chromId_009_10_0007		complete	0	2016-09-30T17:37:31.826736
makeLocusGraph_chromId_009_10_0008		complete	0	2016-09-30T17:37:43.085951
makeLocusGraph_chromId_009_10_0009		complete	0	2016-09-30T17:37:26.943166
makeLocusGraph_chromId_009_10_0010		complete	0	2016-09-30T17:37:36.271200
makeLocusGraph_chromId_009_10_0011		complete	0	2016-09-30T17:37:47.449074
makeLocusGraph_chromId_010_11_0000		complete	0	2016-09-30T17:37:39.446498
makeLocusGraph_chromId_010_11_0001		complete	0	2016-09-30T17:37:43.772859
makeLocusGraph_chromId_010_11_0002		complete	0	2016-09-30T17:37:36.888415
makeLocusGraph_chromId_010_11_0003		complete	0	2016-09-30T17:37:35.076769
makeLocusGraph_chromId_010_11_0004		complete	0	2016-09-30T17:37:41.850113
makeLocusGraph_chromId_010_11_0005		complete	0	2016-09-30T17:37:40.880197
makeLocusGraph_chromId_010_11_0006		complete	0	2016-09-30T17:37:41.507824
makeLocusGraph_chromId_010_11_0007		complete	0	2016-09-30T17:37:35.816105
makeLocusGraph_chromId_010_11_0008		complete	0	2016-09-30T17:37:42.797192
makeLocusGraph_chromId_010_11_0009		complete	0	2016-09-30T17:37:43.536194
makeLocusGraph_chromId_010_11_0010		complete	0	2016-09-30T17:37:27.468688
makeLocusGraph_chromId_010_11_0011		complete	0	2016-09-30T17:37:32.356726
makeLocusGraph_chromId_011_12_0000		complete	0	2016-09-30T17:37:44.445662
makeLocusGraph_chromId_011_12_0001		complete	0	2016-09-30T17:37:41.611940
makeLocusGraph_chromId_011_12_0002		complete	0	2016-09-30T17:37:44.713810
makeLocusGraph_chromId_011_12_0003		complete	0	2016-09-30T17:37:37.941621
makeLocusGraph_chromId_011_12_0004		complete	0	2016-09-30T17:37:26.913977
makeLocusGraph_chromId_011_12_0005		complete	0	2016-09-30T17:37:44.697949
makeLocusGraph_chromId_011_12_0006		complete	0	2016-09-30T17:37:32.373329
makeLocusGraph_chromId_011_12_0007		complete	0	2016-09-30T17:37:38.470028
makeLocusGraph_chromId_011_12_0008		complete	0	2016-09-30T17:37:35.836792
makeLocusGraph_chromId_011_12_0009		complete	0	2016-09-30T17:37:45.189915
makeLocusGraph_chromId_011_12_0010		complete	0	2016-09-30T17:37:27.393882
makeLocusGraph_chromId_011_12_0011		complete	0	2016-09-30T17:37:35.872876
makeLocusGraph_chromId_012_13_0000		complete	0	2016-09-30T17:37:46.137572
makeLocusGraph_chromId_012_13_0001		complete	0	2016-09-30T17:37:46.811444
makeLocusGraph_chromId_012_13_0002		complete	0	2016-09-30T17:37:46.121926
makeLocusGraph_chromId_012_13_0003		complete	0	2016-09-30T17:37:42.782290
makeLocusGraph_chromId_012_13_0004		complete	0	2016-09-30T17:37:40.912379
makeLocusGraph_chromId_012_13_0005		complete	0	2016-09-30T17:37:27.433581
makeLocusGraph_chromId_012_13_0006		complete	0	2016-09-30T17:37:33.499417
makeLocusGraph_chromId_012_13_0007		complete	0	2016-09-30T17:37:31.497810
makeLocusGraph_chromId_012_13_0008		complete	0	2016-09-30T17:37:40.532697
makeLocusGraph_chromId_012_13_0009		complete	0	2016-09-30T17:37:46.981368
makeLocusGraph_chromId_013_14_0000		complete	0	2016-09-30T17:37:29.873968
makeLocusGraph_chromId_013_14_0001		complete	0	2016-09-30T17:37:41.745773
makeLocusGraph_chromId_013_14_0002		complete	0	2016-09-30T17:37:38.253514
makeLocusGraph_chromId_013_14_0003		complete	0	2016-09-30T17:37:43.200484
makeLocusGraph_chromId_013_14_0004		complete	0	2016-09-30T17:37:29.624965
makeLocusGraph_chromId_013_14_0005		complete	0	2016-09-30T17:37:34.500509
makeLocusGraph_chromId_013_14_0006		complete	0	2016-09-30T17:37:47.635685
makeLocusGraph_chromId_013_14_0007		complete	0	2016-09-30T17:37:30.460290
makeLocusGraph_chromId_013_14_0008		complete	0	2016-09-30T17:37:27.814335
makeLocusGraph_chromId_014_15_0000		complete	0	2016-09-30T17:37:45.850756
makeLocusGraph_chromId_014_15_0001		complete	0	2016-09-30T17:37:29.942976
makeLocusGraph_chromId_014_15_0002		complete	0	2016-09-30T17:37:45.965163
makeLocusGraph_chromId_014_15_0003		complete	0	2016-09-30T17:37:37.926028
makeLocusGraph_chromId_014_15_0004		complete	0	2016-09-30T17:37:39.628754
makeLocusGraph_chromId_014_15_0005		complete	0	2016-09-30T17:37:30.976869
makeLocusGraph_chromId_014_15_0006		complete	0	2016-09-30T17:37:43.167384
makeLocusGraph_chromId_014_15_0007		complete	0	2016-09-30T17:37:39.832939
makeLocusGraph_chromId_014_15_0008		complete	0	2016-09-30T17:37:45.314937
makeLocusGraph_chromId_015_16_0000		complete	0	2016-09-30T17:37:37.128851
makeLocusGraph_chromId_015_16_0001		complete	0	2016-09-30T17:37:40.256344
makeLocusGraph_chromId_015_16_0002		complete	0	2016-09-30T17:37:34.485469
makeLocusGraph_chromId_015_16_0003		complete	0	2016-09-30T17:37:33.483662
makeLocusGraph_chromId_015_16_0004		complete	0	2016-09-30T17:37:46.319545
makeLocusGraph_chromId_015_16_0005		complete	0	2016-09-30T17:37:48.399036
makeLocusGraph_chromId_015_16_0006		complete	0	2016-09-30T17:37:37.113097
makeLocusGraph_chromId_015_16_0007		complete	0	2016-09-30T17:37:47.840345
makeLocusGraph_chromId_016_17_0000		complete	0	2016-09-30T17:37:26.480470
makeLocusGraph_chromId_016_17_0001		complete	0	2016-09-30T17:37:44.318391
makeLocusGraph_chromId_016_17_0002		complete	0	2016-09-30T17:37:29.760135
makeLocusGraph_chromId_016_17_0003		complete	0	2016-09-30T17:37:46.562864
makeLocusGraph_chromId_016_17_0004		complete	0	2016-09-30T17:37:39.724771
makeLocusGraph_chromId_016_17_0005		complete	0	2016-09-30T17:37:41.883145
makeLocusGraph_chromId_016_17_0006		complete	0	2016-09-30T17:37:36.255390
makeLocusGraph_chromId_017_18_0000		complete	0	2016-09-30T17:37:43.552678
makeLocusGraph_chromId_017_18_0001		complete	0	2016-09-30T17:37:37.738725
makeLocusGraph_chromId_017_18_0002		complete	0	2016-09-30T17:37:31.037838
makeLocusGraph_chromId_017_18_0003		complete	0	2016-09-30T17:37:34.282588
makeLocusGraph_chromId_017_18_0004		complete	0	2016-09-30T17:37:36.841661
makeLocusGraph_chromId_017_18_0005		complete	0	2016-09-30T17:37:46.826540
makeLocusGraph_chromId_017_18_0006		complete	0	2016-09-30T17:37:44.562463
makeLocusGraph_chromId_018_19_0000		complete	0	2016-09-30T17:37:32.233550
makeLocusGraph_chromId_018_19_0001		complete	0	2016-09-30T17:37:41.726898
makeLocusGraph_chromId_018_19_0002		complete	0	2016-09-30T17:37:40.406213
makeLocusGraph_chromId_018_19_0003		complete	0	2016-09-30T17:37:44.342147
makeLocusGraph_chromId_018_19_0004		complete	0	2016-09-30T17:37:35.223096
makeLocusGraph_chromId_019_20_0000		complete	0	2016-09-30T17:37:34.713711
makeLocusGraph_chromId_019_20_0001		complete	0	2016-09-30T17:37:36.872164
makeLocusGraph_chromId_019_20_0002		complete	0	2016-09-30T17:37:43.901402
makeLocusGraph_chromId_019_20_0003		complete	0	2016-09-30T17:37:35.910793
makeLocusGraph_chromId_019_20_0004		complete	0	2016-09-30T17:37:43.966510
makeLocusGraph_chromId_019_20_0005		complete	0	2016-09-30T17:37:39.193124
makeLocusGraph_chromId_020_21_0000		complete	0	2016-09-30T17:37:34.454769
makeLocusGraph_chromId_020_21_0001		complete	0	2016-09-30T17:37:38.490242
makeLocusGraph_chromId_020_21_0002		complete	0	2016-09-30T17:37:40.604085
makeLocusGraph_chromId_020_21_0003		complete	0	2016-09-30T17:37:31.404443
makeLocusGraph_chromId_020_21_0004		complete	0	2016-09-30T17:37:39.583712
makeLocusGraph_chromId_021_22_0000		complete	0	2016-09-30T17:37:35.169143
makeLocusGraph_chromId_021_22_0001		complete	0	2016-09-30T17:37:45.782627
makeLocusGraph_chromId_021_22_0002		complete	0	2016-09-30T17:37:34.470206
makeLocusGraph_chromId_021_22_0003		complete	0	2016-09-30T17:37:38.416741
makeLocusGraph_chromId_021_22_0004		complete	0	2016-09-30T17:37:36.239915
makeLocusGraph_chromId_022_X_0000		complete	0	2016-09-30T17:37:41.631644
makeLocusGraph_chromId_022_X_0001		complete	0	2016-09-30T17:37:28.097716
makeLocusGraph_chromId_022_X_0002		complete	0	2016-09-30T17:37:45.075830
makeLocusGraph_chromId_022_X_0003		complete	0	2016-09-30T17:37:28.261520
